1096052375	20230416	202304	2023	2023.2904											COP	TROOPER						COP			1	084	084	08	2	7.0	1	1	1	-7.55395683453237	0								2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20230416031500	https://www.mdjonline.com/tribune/georgia/driver-killed-after-fleeing-car-and-hurdling-over-i-77-barrier-during-nc-police-pursuit/article_b4a6e08b-8fba-5574-980a-a4e8b47d725c.html
1096052376	20230416	202304	2023	2023.2904											COP	TROOPER						COP			1	0874	087	08	2	10.0	1	1	1	-7.55395683453237	0								2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20230416031500	https://www.mdjonline.com/tribune/georgia/driver-killed-after-fleeing-car-and-hurdling-over-i-77-barrier-during-nc-police-pursuit/article_b4a6e08b-8fba-5574-980a-a4e8b47d725c.html
1096052377	20230416	202304	2023	2023.2904											CVL	VILLAGE						CVL			0	036	036	03	1	4.0	10	1	10	0.67039106145251	0								4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	4	Stabroek, Demerara-Mahaica, Guyana	GY	GY12	17145	6.8094	-58.1615	-922968	20230416031500	https://www.inewsguyana.com/vp-exposes-apas-motive-of-preventing-development-of-amerindian-villages/
1096052378	20230416	202304	2023	2023.2904											EDU	STUDENT						EDU			1	033	033	03	1	5.2	5	1	5	3.87811634349031	0								3	Woodward County, Oklahoma, United States	US	USOK		36.5167	-99.217	1101864	3	Woodward County, Oklahoma, United States	US	USOK		36.5167	-99.217	1101864	20230416031500	https://www.enidnews.com/news/tap-continues-to-move-forward/article_6a300ef7-5e53-52b1-bda6-56d888246401.html
1096052379	20230416	202304	2023	2023.2904											EDU	SCHOOL						EDU			0	036	036	03	1	4.0	2	1	2	1.78147268408551	0								3	Garfield County, Oklahoma, United States	US	USOK		36.1875	-98.0628	1101811	3	Garfield County, Oklahoma, United States	US	USOK		36.1875	-98.0628	1101811	20230416031500	https://www.enidnews.com/news/local_news/enid-author-fest-brings-authors-from-enid-around-oklahoma-together/article_bea639a8-dbc0-11ed-b8e3-8b757007aadb.html
1096052380	20230416	202304	2023	2023.2904											EDU	SCHOOL						EDU			0	036	036	03	1	4.0	3	1	3	1.78147268408551	0								2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20230416031500	https://www.enidnews.com/news/local_news/enid-author-fest-brings-authors-from-enid-around-oklahoma-together/article_bea639a8-dbc0-11ed-b8e3-8b757007aadb.html
1096052381	20230416	202304	2023	2023.2904											EDUEDU	SCHOOL						EDU	EDU		1	062	062	06	2	7.4	5	1	5	-5.33333333333333	0								0								0								20230416031500	https://www.hancinema.net/photos-new-behind-the-scenes-images-added-for-the-korean-drama-duty-after-school-168513.html
1096052382	20230416	202304	2023	2023.2904											ESP	SIERRA NEVADA	ESP								0	043	043	04	1	2.8	6	1	6	-0.31479538300105	0								4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	4	Dublin, Dublin, Ireland	EI	EI07	18288	53.3331	-6.24889	-1502554	20230416031500	https://www.independent.ie/business/irish/this-is-not-work-to-me-its-a-journey-white-hag-co-founder-paul-mullin-is-ready-to-get-the-craft-beer-brand-fizzing-in-new-markets-42432565.html
1096052383	20230416	202304	2023	2023.2904											ETH	ETHIOPIA	ETH								1	036	036	03	1	4.0	8	1	8	4.76190476190476	0								4	Lalibela, Amara, Ethiopia	ET	ET46	40799	12.0333	39.0333	-615837	4	Lalibela, Amara, Ethiopia	ET	ET46	40799	12.0333	39.0333	-615837	20230416031500	https://www.capitalethiopia.com/2019/10/21/art-and-handicraft-festival-going-to-be-held-in-lalibela/
1096052384	20230416	202304	2023	2023.2904											EUR	EUROPEAN	EUR								1	042	042	04	1	1.9	6	1	6	0.75757575757576	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20230416031500	https://www.mdjonline.com/tribune/lifestyles/fiddler-on-the-roof-star-chaim-topol-was-a-secret-mossad-agent-family-claims/article_d5ff7549-f1e3-55fd-a32d-49ae947555bb.html
1096052385	20230416	202304	2023	2023.2904											EUR	EUROPE	EUR								1	061	061	06	2	6.4	10	1	10	0.44843049327355	0								1	Germany	GM	GM		51.5	10.5	GM	1	Germany	GM	GM		51.5	10.5	GM	20230416031500	https://www.joe.co.uk/fitness-health/lidl-now-selling-cannabis-products-in-europe-176706
1096052386	20230416	202304	2023	2023.2904											GBR	UNITED KINGDOM	GBR								1	020	020	02	1	3.0	1	1	1	3.58306188925081	0								4	Buckingham Palace, Westminster, United Kingdom	UK	UKP5	40110	51.5	-0.133333	-2591190	4	Buckingham Palace, Westminster, United Kingdom	UK	UKP5	40110	51.5	-0.133333	-2591190	20230416031500	https://www.thenews.com.pk/latest/1061340-archbishop-of-canterbury-failed-to-woo-prince-william-and-harry
1096052387	20230416	202304	2023	2023.2904											GBR	UNITED KINGDOM	GBR								0	023	023	02	1	3.4	2	1	2	-4.4776119402985	0								4	Brighton, Brighton and Hove, United Kingdom	UK	UKB6	40137	50.8333	-0.15	-2590884	4	Brighton, Brighton and Hove, United Kingdom	UK	UKB6	40137	50.8333	-0.15	-2590884	20230416031500	https://www.bbc.co.uk/news/uk-65290166
1096052388	20230416	202304	2023	2023.2904											GBR	UNITED KINGDOM	GBR								0	025	025	02	1	-0.3	2	1	2	3.58306188925081	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20230416031500	https://www.thenews.com.pk/latest/1061340-archbishop-of-canterbury-failed-to-woo-prince-william-and-harry
1096052389	20230416	202304	2023	2023.2904											GBR	UNITED KINGDOM	GBR								1	045	045	04	1	5.0	1	1	1	3.58306188925081	0								4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	4	Sussex, East Sussex, United Kingdom	UK	UKE2	40137	50.9167	-0.083333	-2609142	20230416031500	https://www.thenews.com.pk/latest/1061340-archbishop-of-canterbury-failed-to-woo-prince-william-and-harry
1096052390	20230416	202304	2023	2023.2904											GBR	UNITED KINGDOM	GBR								1	080	080	08	2	5.0	2	1	2	-0.9438202247191	0								1	Israel	IS	IS		31.5	34.75	IS	1	Israel	IS	IS		31.5	34.75	IS	20230416031500	https://www.zerohedge.com/technology/hacking-humanity-transhumanism
